N:      Errore:
10   0.0316579
20   0.00814694
30   0.00364005
40   0.00205131
50   0.00131396
60   0.000912892
70   0.000670883
80   0.000513738
90   0.000405967
100   0.000328862
110   0.000271805
120   0.000228403
130   0.000194623
140   0.000167818
150   0.000146192
160   0.000128491
170   0.000113821
180   0.000101527
190   9.11225e-05
200   8.22389e-05
210   7.45938e-05
220   6.79672e-05
230   6.21859e-05
240   5.7112e-05
250   5.26347e-05
260   4.8664e-05
270   4.51262e-05
280   4.19606e-05
290   3.91168e-05
300   3.65526e-05
310   3.42325e-05
320   3.21264e-05
330   3.02089e-05
340   2.84581e-05
350   2.68552e-05
360   2.5384e-05
370   2.40305e-05
380   2.27824e-05
390   2.16291e-05
400   2.05612e-05
410   1.95705e-05
420   1.86496e-05
430   1.77923e-05
440   1.69928e-05
450   1.6246e-05
460   1.55473e-05
470   1.48928e-05
480   1.42787e-05
490   1.37019e-05
500   1.31593e-05
510   1.26483e-05
520   1.21665e-05
530   1.17117e-05
540   1.1282e-05
550   1.08755e-05
560   1.04905e-05
570   1.01257e-05
580   9.77952e-06
590   9.45083e-06
600   9.13843e-06
610   8.84126e-06
620   8.55837e-06
630   8.28883e-06
640   8.03183e-06
650   7.7866e-06
660   7.55243e-06
670   7.32867e-06
680   7.11471e-06
690   6.90998e-06
700   6.71396e-06
710   6.52617e-06
720   6.34615e-06
730   6.17347e-06
740   6.00775e-06
750   5.84862e-06
760   5.69572e-06
770   5.54874e-06
780   5.40738e-06
790   5.27135e-06
800   5.14039e-06
810   5.01425e-06
820   4.8927e-06
830   4.77551e-06
840   4.66249e-06
850   4.55343e-06
860   4.44815e-06
870   4.34648e-06
880   4.24826e-06
890   4.15333e-06
900   4.06155e-06
910   3.97277e-06
920   3.88688e-06
930   3.80374e-06
940   3.72324e-06
950   3.64527e-06
960   3.56972e-06
970   3.4965e-06
980   3.42551e-06
990   3.35665e-06
1000   3.28986e-06
1010   3.22503e-06
1020   3.16211e-06
1030   3.10101e-06
1040   3.04166e-06
1050   2.984e-06
1060   2.92796e-06
1070   2.87349e-06
1080   2.82052e-06
1090   2.76901e-06
1100   2.71889e-06
1110   2.67012e-06
1120   2.62265e-06
1130   2.57644e-06
1140   2.53144e-06
1150   2.48761e-06
1160   2.4449e-06
1170   2.40329e-06
1180   2.36273e-06
1190   2.32318e-06
1200   2.28462e-06
1210   2.24702e-06
1220   2.21033e-06
1230   2.17454e-06
1240   2.13961e-06
1250   2.10551e-06
1260   2.07222e-06
1270   2.03972e-06
1280   2.00797e-06
1290   1.97696e-06
1300   1.94666e-06
1310   1.91706e-06
1320   1.88812e-06
1330   1.85983e-06
1340   1.83218e-06
1350   1.80514e-06
1360   1.77869e-06
1370   1.75282e-06
1380   1.72751e-06
1390   1.70274e-06
1400   1.6785e-06
1410   1.65478e-06
1420   1.63155e-06
1430   1.60881e-06
1440   1.58655e-06
1450   1.56474e-06
1460   1.54338e-06
1470   1.52245e-06
1480   1.50195e-06
1490   1.48185e-06
1500   1.46216e-06
1510   1.44286e-06
1520   1.42394e-06
1530   1.40538e-06
1540   1.38719e-06
1550   1.36935e-06
1560   1.35185e-06
1570   1.33468e-06
1580   1.31784e-06
1590   1.30132e-06
1600   1.2851e-06
1610   1.26919e-06
1620   1.25357e-06
1630   1.23823e-06
1640   1.22318e-06
1650   1.2084e-06
1660   1.19388e-06
1670   1.17963e-06
1680   1.16563e-06
1690   1.15187e-06
1700   1.13836e-06
1710   1.12509e-06
1720   1.11204e-06
1730   1.09922e-06
1740   1.08662e-06
1750   1.07424e-06
1760   1.06207e-06
1770   1.0501e-06
1780   1.03834e-06
1790   1.02677e-06
1800   1.01539e-06
1810   1.0042e-06
1820   9.93197e-07
1830   9.82372e-07
1840   9.71723e-07
1850   9.61246e-07
1860   9.50938e-07
1870   9.40795e-07
1880   9.30813e-07
1890   9.20989e-07
1900   9.1132e-07
1910   9.01802e-07
1920   8.92433e-07
1930   8.83209e-07
1940   8.74127e-07
1950   8.65185e-07
1960   8.56379e-07
1970   8.47707e-07
1980   8.39166e-07
1990   8.30753e-07
2000   8.22466e-07
2010   8.14303e-07
2020   8.0626e-07
2030   7.98337e-07
2040   7.90529e-07
2050   7.82835e-07
2060   7.75253e-07
2070   7.67781e-07
2080   7.60416e-07
2090   7.53157e-07
2100   7.46001e-07
2110   7.38947e-07
2120   7.31992e-07
2130   7.25135e-07
2140   7.18374e-07
2150   7.11707e-07
2160   7.05132e-07
2170   6.98648e-07
2180   6.92253e-07
2190   6.85946e-07
2200   6.79724e-07
2210   6.73587e-07
2220   6.67532e-07
2230   6.61559e-07
2240   6.55665e-07
2250   6.4985e-07
2260   6.44112e-07
2270   6.38449e-07
2280   6.32861e-07
2290   6.27346e-07
2300   6.21903e-07
2310   6.1653e-07
2320   6.11227e-07
2330   6.05991e-07
2340   6.00823e-07
2350   5.9572e-07
2360   5.90683e-07
2370   5.85708e-07
2380   5.80797e-07
2390   5.75947e-07
2400   5.71157e-07
2410   5.66427e-07
2420   5.61756e-07
2430   5.57142e-07
2440   5.52584e-07
2450   5.48083e-07
2460   5.43636e-07
2470   5.39243e-07
2480   5.34903e-07
2490   5.30615e-07
2500   5.26379e-07
2510   5.22193e-07
2520   5.18057e-07
2530   5.13969e-07
2540   5.0993e-07
2550   5.05939e-07
2560   5.01994e-07
2570   4.98095e-07
2580   4.94241e-07
2590   4.90432e-07
2600   4.86667e-07
2610   4.82945e-07
2620   4.79265e-07
2630   4.75627e-07
2640   4.72031e-07
2650   4.68475e-07
2660   4.64959e-07
2670   4.61483e-07
2680   4.58046e-07
2690   4.54646e-07
2700   4.51285e-07
2710   4.4796e-07
2720   4.44673e-07
2730   4.41421e-07
2740   4.38205e-07
2750   4.35024e-07
2760   4.31877e-07
2770   4.28764e-07
2780   4.25685e-07
2790   4.22639e-07
2800   4.19626e-07
2810   4.16644e-07
2820   4.13695e-07
2830   4.10776e-07
2840   4.07889e-07
2850   4.05031e-07
2860   4.02204e-07
2870   3.99406e-07
2880   3.96637e-07
2890   3.93897e-07
2900   3.91185e-07
2910   3.88501e-07
2920   3.85845e-07
2930   3.83215e-07
2940   3.80613e-07
2950   3.78037e-07
2960   3.75487e-07
2970   3.72963e-07
2980   3.70464e-07
2990   3.6799e-07
3000   3.65541e-07
3010   3.63116e-07
3020   3.60715e-07
3030   3.58338e-07
3040   3.55985e-07
3050   3.53654e-07
3060   3.51346e-07
3070   3.49061e-07
3080   3.46798e-07
3090   3.44557e-07
3100   3.42338e-07
3110   3.4014e-07
3120   3.37963e-07
3130   3.35807e-07
3140   3.33671e-07
3150   3.31556e-07
3160   3.29461e-07
3170   3.27386e-07
3180   3.2533e-07
3190   3.23293e-07
3200   3.21276e-07
3210   3.19277e-07
3220   3.17297e-07
3230   3.15336e-07
3240   3.13392e-07
3250   3.11467e-07
3260   3.09559e-07
3270   3.07668e-07
3280   3.05795e-07
3290   3.03939e-07
3300   3.021e-07
3310   3.00277e-07
3320   2.98471e-07
3330   2.96681e-07
3340   2.94907e-07
3350   2.93149e-07
3360   2.91407e-07
3370   2.8968e-07
3380   2.87968e-07
3390   2.86272e-07
3400   2.84591e-07
3410   2.82924e-07
3420   2.81272e-07
3430   2.79634e-07
3440   2.78011e-07
3450   2.76401e-07
3460   2.74806e-07
3470   2.73224e-07
3480   2.71656e-07
3490   2.70102e-07
3500   2.68561e-07
3510   2.67033e-07
3520   2.65517e-07
3530   2.64015e-07
3540   2.62526e-07
3550   2.61049e-07
3560   2.59584e-07
3570   2.58132e-07
3580   2.56692e-07
3590   2.55264e-07
3600   2.53848e-07
3610   2.52443e-07
3620   2.51051e-07
3630   2.49669e-07
3640   2.48299e-07
3650   2.46941e-07
3660   2.45593e-07
3670   2.44257e-07
3680   2.42931e-07
3690   2.41616e-07
3700   2.40312e-07
3710   2.39018e-07
3720   2.37735e-07
3730   2.36462e-07
3740   2.35199e-07
3750   2.33946e-07
3760   2.32703e-07
3770   2.31471e-07
3780   2.30247e-07
3790   2.29034e-07
3800   2.2783e-07
3810   2.26636e-07
3820   2.25451e-07
3830   2.24275e-07
3840   2.23108e-07
3850   2.21951e-07
3860   2.20802e-07
3870   2.19663e-07
3880   2.18532e-07
3890   2.1741e-07
3900   2.16296e-07
3910   2.15191e-07
3920   2.14095e-07
3930   2.13007e-07
3940   2.11927e-07
3950   2.10855e-07
3960   2.09792e-07
3970   2.08736e-07
3980   2.07688e-07
3990   2.06649e-07
4000   2.05617e-07
4010   2.04592e-07
4020   2.03576e-07
4030   2.02567e-07
4040   2.01565e-07
4050   2.00571e-07
4060   1.99584e-07
4070   1.98605e-07
4080   1.97632e-07
4090   1.96667e-07
4100   1.95709e-07
4110   1.94758e-07
4120   1.93813e-07
4130   1.92876e-07
4140   1.91945e-07
4150   1.91021e-07
4160   1.90104e-07
4170   1.89194e-07
4180   1.88289e-07
4190   1.87392e-07
4200   1.865e-07
4210   1.85615e-07
4220   1.84737e-07
4230   1.83864e-07
4240   1.82998e-07
4250   1.82138e-07
4260   1.81284e-07
4270   1.80436e-07
4280   1.79594e-07
4290   1.78757e-07
4300   1.77927e-07
4310   1.77102e-07
4320   1.76283e-07
4330   1.7547e-07
4340   1.74662e-07
4350   1.7386e-07
4360   1.73063e-07
4370   1.72272e-07
4380   1.71487e-07
4390   1.70706e-07
4400   1.69931e-07
4410   1.69161e-07
4420   1.68397e-07
4430   1.67637e-07
4440   1.66883e-07
4450   1.66134e-07
4460   1.6539e-07
4470   1.64651e-07
4480   1.63916e-07
4490   1.63187e-07
4500   1.62463e-07
4510   1.61743e-07
4520   1.61028e-07
4530   1.60318e-07
4540   1.59612e-07
4550   1.58912e-07
4560   1.58215e-07
4570   1.57524e-07
4580   1.56837e-07
4590   1.56154e-07
4600   1.55476e-07
4610   1.54802e-07
4620   1.54133e-07
4630   1.53468e-07
4640   1.52807e-07
4650   1.5215e-07
4660   1.51498e-07
4670   1.5085e-07
4680   1.50206e-07
4690   1.49566e-07
4700   1.4893e-07
4710   1.48298e-07
4720   1.47671e-07
4730   1.47047e-07
4740   1.46427e-07
4750   1.45811e-07
4760   1.45199e-07
4770   1.44591e-07
4780   1.43987e-07
4790   1.43386e-07
4800   1.42789e-07
4810   1.42196e-07
4820   1.41607e-07
4830   1.41021e-07
4840   1.40439e-07
4850   1.3986e-07
4860   1.39285e-07
4870   1.38714e-07
4880   1.38146e-07
4890   1.37582e-07
4900   1.37021e-07
4910   1.36463e-07
4920   1.35909e-07
4930   1.35358e-07
4940   1.34811e-07
4950   1.34267e-07
4960   1.33726e-07
4970   1.33188e-07
4980   1.32654e-07
4990   1.32123e-07
5000   1.31595e-07
5010   1.3107e-07
5020   1.30548e-07
5030   1.3003e-07
5040   1.29514e-07
5050   1.29002e-07
5060   1.28492e-07
5070   1.27986e-07
