Passo  Errore
100  2.08779
200  2.04349
300  2.07184
400  2.02575
500  2.0101
600  2.02511
700  2.02422
800  2.02041
900  2.02598
1000  2.0201
1100  2.0281
1200  2.03452
1300  2.03011
1400  2.02268
1500  2.02481
1600  2.02462
1700  2.036
1800  2.02401
1900  2.01287
2000  2.01157
2100  2.01229
2200  2.0134
2300  2.00763
2400  2.00933
2500  2.00741
2600  2.00971
2700  2.00615
2800  2.00669
2900  2.00057
3000  2.00006
3100  2.00074
3200  1.99697
3300  1.9975
3400  1.99978
3500  2.00364
3600  2.0101
3700  2.00982
3800  2.01321
3900  2.01273
4000  2.01048
4100  2.01242
4200  2.01236
4300  2.0113
4400  2.01003
4500  2.00902
4600  2.01187
4700  2.01275
4800  2.00988
4900  2.00948
5000  2.00901
5100  2.00764
5200  2.00907
5300  2.01105
5400  2.01124
5500  2.00992
5600  2.00648
5700  2.00447
5800  2.00367
5900  2.0064
6000  2.00451
6100  2.00355
6200  2.00284
6300  2.00289
6400  2.00455
6500  2.00526
6600  2.00581
6700  2.00438
6800  2.00401
6900  2.00421
7000  2.00516
7100  2.00345
7200  2.00461
7300  2.00552
7400  2.00596
7500  2.00668
7600  2.00561
7700  2.00584
7800  2.00709
7900  2.00729
8000  2.00787
8100  2.00738
8200  2.00829
8300  2.00761
8400  2.00585
8500  2.00701
8600  2.00567
8700  2.00582
8800  2.00571
8900  2.00748
9000  2.0059
9100  2.00395
9200  2.0041
9300  2.00429
9400  2.00298
9500  2.00375
9600  2.00449
9700  2.00425
9800  2.00429
9900  2.00566
